"energy","liveness","tempo","speechiness","acousticness","danceability","duration_ms","loudness"
0.8,0.184,162.053,0.0413,0.0266,0.394,185413,-4.17
0.808,0.0918,106.029,0.0408,0.000953,0.59,257747,-6.728
0.477,0.336,130.078,0.0664,0.000131,0.885,346840,-9.196
0.62,0.113,91.008,0.035,0.417,0.665,192075,-5.43
0.744,0.0447,149.961,0.0671,0.0186,0.751,206880,-6.604
0.331,0.0938,97.066,0.262,0.242,0.743,200213,-6.027
0.808,0.225,100.033,0.0473,0.0299,0.718,225813,-7.652
0.469,0.0753,103.057,0.0646,0.0599,0.797,224240,-8.112
0.885,0.164,104.996,0.0368,0.0832,0.553,190640,-5.035
0.807,0.18,89.967,0.0373,0.288,0.609,210000,-5.603
0.455,0.154,146.316,0.393,0.00322,0.592,202451,-7.698
0.547,0.341,142.065,0.194,0.0565,0.853,205879,-7.535
0.73,0.0843,118.523,0.0767,0.137,0.866,379267,-8.201
0.746,0.632,123.144,0.111,0.281,0.748,296907,-9.721
0.989,0.443,126.47,0.049,0.0102,0.729,352906,-4.613
0.93,0.106,195.815,0.125,0.0192,0.309,280000,-6.399
0.271,0.0461,111.485,0.091,0.0135,0.898,226240,-12.238
0.649,0.0722,92.521,0.246,0.0269,0.543,201647,-5.558
0.641,0.0857,136.095,0.0282,0.0592,0.489,190173,-4.455
0.452,0.689,113.066,0.0307,0.0353,0.367,520787,-10.422
0.67,0.0685,120.752,0.0438,0.21,0.761,215173,-12.759
0.481,0.0765,105.36,0.0567,0.464,0.38,348853,-9.874
0.75,0.202,135.406,0.0321,0.0862,0.731,178987,-10.457
0.55,0.139,113.048,0.0649,0.083,0.576,242519,-7.01
0.431,0.0854,157.98,0.0342,0.329,0.471,295502,-6.129
0.648,0.0891,152.879,0.0468,0.0017,0.779,181961,-7.285
0.502,0.336,111,0.0994,0.0148,0.808,200680,-7.227
0.831,0.204,182.064,0.0616,0.414,0.443,173960,-5.606
0.399,0.119,165.888,0.0348,0.434,0.586,227427,-9.338
0.682,0.0974,87.293,0.034,0.0139,0.534,244147,-9.447
0.815,0.163,123.063,0.0581,0.0185,0.636,219043,-5.098
0.639,0.0382,134.963,0.0549,0.00226,0.893,267024,-7.857
